"surveys","cor_wgt","cor_num"
"BITS",0.979908738780098,0.999989746075683
"EVHOE",0.978778279832279,0.99999999991982
"FR-CGFS",0.874331445919463,0.999029485954015
"IE-IGFS",0.979243907318676,0.999999999943097
"NIGFS",0.980530883579403,0.999999445522513
"NS-IBTS",0.8279450125855,0.999999778630607
"PT-IBTS",0.961173462963084,0.99999998753574
"ROCKALL",0.899930213722476,0.999999989157552
"SP-ARSA",0.780096357168606,0.99999999951686
"SP-NORTH",0.0797081760228154,0.999999946663646
"SP-PORC",0.121188578569489,0.999999994837837
"SWC-IBTS",0.947716902011712,0.99999999817497
"all",0.198428400411157,0.999992588999495
"all-SP",0.90111460120187,0.999992475308783
