"cell","year"
"6298","1987"
"6298","1988"
"6298","1989"
"6298","1990"
"6298","1991"
"6298","1992"
"6298","1993"
"6298","1994"
"6298","1995"
"6298","1996"
"6298","1997"
"6298","1998"
"6298","1999"
"6298","2000"
"6298","2001"
"6298","2002"
"6298","2003"
"6298","2004"
"6298","2005"
"6298","2006"
"6298","2007"
"6298","2008"
"6298","2009"
"6298","2010"
"6298","2011"
"6298","2012"
"6298","2013"
"6298","2014"
"6298","2015"
"6298","2016"
"6298","2017"
"6298","2018"
"6298","2019"
"6299","1987"
"6299","1988"
"6299","1989"
"6299","1990"
"6299","1991"
"6299","1992"
"6299","1993"
"6299","1994"
"6299","1995"
"6299","1996"
"6299","1997"
"6299","1998"
"6299","1999"
"6299","2000"
"6299","2001"
"6299","2002"
"6299","2003"
"6299","2004"
"6299","2005"
"6299","2006"
"6299","2007"
"6299","2008"
"6299","2009"
"6299","2010"
"6299","2011"
"6299","2012"
"6299","2013"
"6299","2014"
"6299","2015"
"6299","2016"
"6299","2017"
"6299","2018"
"6299","2019"
"6300","1987"
"6300","1988"
"6300","1989"
"6300","1990"
"6300","1991"
"6300","1992"
"6300","1993"
"6300","1994"
"6300","1995"
"6300","1996"
"6300","1997"
"6300","1998"
"6300","1999"
"6300","2000"
"6300","2001"
"6300","2002"
"6300","2003"
"6300","2004"
"6300","2005"
"6300","2006"
"6300","2007"
"6300","2008"
"6300","2009"
"6300","2010"
"6300","2011"
"6300","2012"
"6300","2013"
"6300","2014"
"6300","2015"
"6300","2016"
"6300","2017"
"6300","2018"
"6300","2019"
"6301","1987"
"6301","1988"
"6301","1989"
"6301","1990"
"6301","1991"
"6301","1992"
"6301","1993"
"6301","1994"
"6301","1995"
"6301","1996"
"6301","1997"
"6301","1998"
"6301","1999"
"6301","2000"
"6301","2001"
"6301","2002"
"6301","2003"
"6301","2004"
"6301","2005"
"6301","2006"
"6301","2007"
"6301","2008"
"6301","2009"
"6301","2010"
"6301","2011"
"6301","2012"
"6301","2013"
"6301","2014"
"6301","2015"
"6301","2016"
"6301","2017"
"6301","2018"
"6301","2019"
"6302","1987"
"6302","1988"
"6302","1989"
"6302","1990"
"6302","1991"
"6302","1992"
"6302","1993"
"6302","1994"
"6302","1995"
"6302","1996"
"6302","1997"
"6302","1998"
"6302","1999"
"6302","2000"
"6302","2001"
"6302","2002"
"6302","2003"
"6302","2004"
"6302","2005"
"6302","2006"
"6302","2007"
"6302","2008"
"6302","2009"
"6302","2010"
"6302","2011"
"6302","2012"
"6302","2013"
"6302","2014"
"6302","2015"
"6302","2016"
"6302","2017"
"6302","2018"
"6302","2019"
"6461","1987"
"6461","1988"
"6461","1989"
"6461","1990"
"6461","1991"
"6461","1992"
"6461","1993"
"6461","1994"
"6461","1995"
"6461","1996"
"6461","1997"
"6461","1998"
"6461","1999"
"6461","2000"
"6461","2001"
"6461","2002"
"6461","2003"
"6461","2004"
"6461","2005"
"6461","2006"
"6461","2007"
"6461","2008"
"6461","2009"
"6461","2010"
"6461","2011"
"6461","2012"
"6461","2013"
"6461","2014"
"6461","2015"
"6461","2016"
"6461","2017"
"6461","2018"
"6461","2019"
"6467","1987"
"6467","1988"
"6467","1989"
"6467","1990"
"6467","1991"
"6467","1992"
"6467","1993"
"6467","1994"
"6467","1995"
"6467","1996"
"6467","1997"
"6467","1998"
"6467","1999"
"6467","2000"
"6467","2001"
"6467","2002"
"6467","2003"
"6467","2004"
"6467","2005"
"6467","2006"
"6467","2007"
"6467","2008"
"6467","2009"
"6467","2010"
"6467","2011"
"6467","2012"
"6467","2013"
"6467","2014"
"6467","2015"
"6467","2016"
"6467","2017"
"6467","2018"
"6467","2019"
"6468","1987"
"6468","1988"
"6468","1989"
"6468","1990"
"6468","1991"
"6468","1992"
"6468","1993"
"6468","1994"
"6468","1995"
"6468","1996"
"6468","1997"
"6468","1998"
"6468","1999"
"6468","2000"
"6468","2001"
"6468","2002"
"6468","2003"
"6468","2004"
"6468","2005"
"6468","2006"
"6468","2007"
"6468","2008"
"6468","2009"
"6468","2010"
"6468","2011"
"6468","2012"
"6468","2013"
"6468","2014"
"6468","2015"
"6468","2016"
"6468","2017"
"6468","2018"
"6468","2019"
"6469","1987"
"6469","1988"
"6469","1989"
"6469","1990"
"6469","1991"
"6469","1992"
"6469","1993"
"6469","1994"
"6469","1995"
"6469","1996"
"6469","1997"
"6469","1998"
"6469","1999"
"6469","2000"
"6469","2001"
"6469","2002"
"6469","2003"
"6469","2004"
"6469","2005"
"6469","2006"
"6469","2007"
"6469","2008"
"6469","2009"
"6469","2010"
"6469","2011"
"6469","2012"
"6469","2013"
"6469","2014"
"6469","2015"
"6469","2016"
"6469","2017"
"6469","2018"
"6469","2019"
"6471","1987"
"6471","1988"
"6471","1989"
"6471","1990"
"6471","1991"
"6471","1992"
"6471","1993"
"6471","1994"
"6471","1995"
"6471","1996"
"6471","1997"
"6471","1998"
"6471","1999"
"6471","2000"
"6471","2001"
"6471","2002"
"6471","2003"
"6471","2004"
"6471","2005"
"6471","2006"
"6471","2007"
"6471","2008"
"6471","2009"
"6471","2010"
"6471","2011"
"6471","2012"
"6471","2013"
"6471","2014"
"6471","2015"
"6471","2016"
"6471","2017"
"6471","2018"
"6471","2019"
"6540","1987"
"6540","1988"
"6540","1989"
"6540","1990"
"6540","1991"
"6540","1992"
"6540","1993"
"6540","1994"
"6540","1995"
"6540","1996"
"6540","1997"
"6540","1998"
"6540","1999"
"6540","2000"
"6540","2001"
"6540","2002"
"6540","2003"
"6540","2004"
"6540","2005"
"6540","2006"
"6540","2007"
"6540","2008"
