"cell","year"
"6238","2013"
"6238","2018"
"6238","2019"
"6319","2013"
"6319","2018"
"6319","2019"
"6399","2013"
"6399","2018"
"6399","2019"
"6400","2013"
"6400","2018"
"6400","2019"
"6480","2013"
"6480","2018"
"6480","2019"
"6481","2013"
"6481","2018"
"6481","2019"
"6560","2013"
"6560","2018"
"6560","2019"
"6561","2013"
"6561","2018"
"6561","2019"
"6567","1989"
"6567","1990"
"6567","1991"
"6567","1992"
"6567","1993"
"6567","1994"
"6567","1995"
"6567","1996"
"6567","1997"
"6567","1998"
"6567","1999"
"6567","2000"
"6567","2001"
"6567","2002"
"6567","2003"
"6567","2004"
"6567","2005"
"6567","2006"
"6567","2007"
"6567","2008"
"6567","2009"
"6567","2010"
"6567","2011"
"6567","2012"
"6567","2013"
"6567","2014"
"6567","2015"
"6567","2016"
"6567","2017"
"6567","2018"
"6567","2019"
"6568","2013"
"6568","2018"
"6568","2019"
"6569","2013"
"6569","2018"
"6569","2019"
"32885","2013"
"32885","2018"
"32885","2019"
"32966","2013"
"32966","2018"
"32966","2019"
"33048","2013"
"33048","2018"
"33048","2019"
"33129","2013"
"33129","2018"
"33129","2019"
