haul_id;year;cell
NED2017020_089;2017;6744
NED2011025_096;2011;6744
NED2016016_035;2016;6744
NED2017020_090;2017;6744
NED2016016_036;2016;6744
NED2019030_028;2019;6744
NED2013022_042;2013;6744
NED1990139_059;1990;6744
NED2011025_098;2011;6744
NED2020025_115;2020;6744
NED2012022_107;2012;6744
NED2020025_116;2020;6744
NED2019030_029;2019;6744
NED2011025_095;2011;6744
NED2017020_091;2017;6744
NED2017020_092;2017;6744
NED2019030_027;2019;6744
NED2013022_043;2013;6744
NED2016016_034;2016;6744
NED2017020_093;2017;6744
NED2013022_041;2013;6744
NED2016016_037;2016;6744
NED2017020_088;2017;6744
NED2012022_105;2012;6744
NED2019030_030;2019;6744
NED1990139_058;1990;6744
NED2019030_026;2019;6744
NED2020025_114;2020;6744
NED2020025_117;2020;6744
NED1989123_057;1989;6744
NED2019030_025;2019;6744
NED1989123_058;1989;6745
NED2016016_033;2016;6744
NED2020025_118;2020;6744
NED1990139_060;1990;6745
NED2012022_108;2012;6745
NED2011025_099;2011;6745
NED1990139_064;1990;6745
NED1989123_059;1989;6745
NED2017020_095;2017;6745
NED2013022_040;2013;6745
NED1990139_061;1990;6745
NED2019030_024;2019;6745
NED2017020_094;2017;6745
NED2013022_039;2013;6745
NED2019030_023;2019;6745
NED2012022_109;2012;6745
NED1990139_062;1990;6745
NED1989123_060;1989;6745
NED2020025_119;2020;6745
NED2016016_032;2016;6745
NED1990139_063;1990;6745
NED2016016_031;2016;6745
NED2020025_120;2020;6745
NED2011025_094;2011;6745
NED2013022_038;2013;6745
NED2011025_100;2011;6745
NED2020025_121;2020;6745
NED2011025_102;2011;6745
ATC1975236_032;1975;6745
TEL2007745_058;2007;6745
NED2012022_110;2012;6745
NED1986065_056;1986;6745
ATC1970175_030;1970;6745
NED2011025_101;2011;6745
TEM2008830_079;2008;6745
TEL2005605_017;2005;6745
ATC1975236_033;1975;6745
HAM1982080_035;1982;6745
NED2006030_080;2006;6745
NED2011025_103;2011;6745
NED1994221_067;1994;6745
TEL2018023_080;2018;6663
NED2005027_088;2005;6745
NED1994221_066;1994;6745
NED2020025_122;2020;6745
NED2010027_079;2010;6745
NED2002037_047;2002;6745
NED2000426_039;2000;6745
NED1992173_053;1992;6745
HAM1982080_036;1982;6745
NED2016016_198;2016;6745
NED2000426_040;2000;6745
NED1997726_077;1997;6745
NED2020025_123;2020;6745
TEL2007745_059;2007;6745
TEL2005605_018;2005;6745
NED2012022_112;2012;6745
NED2001032_044;2001;6745
NED2012022_111;2012;6745
NED2017020_116;2017;6745
NED2016016_199;2016;6745
NED1989123_076;1989;6745
NED1998827_032;1998;6745
NED1992173_067;1992;6745
NED2017020_113;2017;6745
NED1993189_033;1993;6745
NED2005027_087;2005;6745
NED2009027_085;2009;6745
NED2001032_046;2001;6745
TEL2018023_081;2018;6664
NED1990139_065;1990;6745
NED2015017_115;2015;6745
ATC1971188_028;1971;6746
ATC1970175_031;1970;6745
NED2005027_089;2005;6745
NED2001032_045;2001;6745
TEL2018023_079;2018;6663
NED2011025_104;2011;6745
NED1984031_053;1984;6745
NED1987085_060;1987;6745
ATC1974225_025;1974;6581
TEL2018023_083;2018;6746
NED2013022_047;2013;6581
NED1998827_033;1998;6745
NED1989123_077;1989;6745
ATC1971188_026;1971;6664
